,A,B,C
3.115505,9.341792962750066e-05,0.006080042905902774,0.0038265391644692094
3.164495,8.679922038996398e-05,0.006027347792347425,0.003885852987262086
3.2,8.229747455489641e-05,0.005989184729857856,0.003928517795586707
3.215505,8.040555729560622e-05,0.005972529882385243,0.003947064560318614
3.264495,7.470878145242755e-05,0.005919965654868782,0.0040053255636782435
3.3,7.083409289836627e-05,0.00588193759848445,0.004047228308616623
3.315505,6.920570462004562e-05,0.005865351693115465,0.0040654426022639295
3.364495,6.430244420434821e-05,0.005813042870454381,0.004122654685340702
3.4,6.096746885455742e-05,0.0057752336016952815,0.004163798929449575
3.415505,5.956590207252653e-05,0.005758751607047772,0.004181682490879116
3.464495,5.534562671573277e-05,0.005706802536937504,0.0042378518363461685
3.5,5.247518682655649e-05,0.005669282135871675,0.004278242677301157
3.515505,5.1268847115908186e-05,0.005652933267135143,0.00429579788574834
3.564495,4.763642244799923e-05,0.005601430991797605,0.004350932585753779
3.6,4.5165811935723305e-05,0.005564257785767592,0.004390576402296049
3.615505,4.412750572288744e-05,0.005548066323586093,0.0044078061706903865
3.664495,4.1001048832629546e-05,0.00549708304514706,0.004461915906019669
3.7,3.887457465479195e-05,0.005460305285257861,0.004500820140086689
3.715505,3.7980896214053096e-05,0.005444291280203003,0.004517727823582288
3.764495,3.5289929826505695e-05,0.005393886481575731,0.004570823588597097
3.8,3.345965653715405e-05,0.005357543784880623,0.004608996558581544
3.815505,3.269046037366378e-05,0.005341723663457886,0.004625585876167773
3.864495,3.037432413603516e-05,0.005291945932739727,0.004677679743123552
3.9,2.8798993314421023e-05,0.005256070522775871,0.004715130483909006
3.915505,2.813694004004756e-05,0.005240457608686608,0.004731405451272644
3.964495,2.6143423102756593e-05,0.005191346208387949,0.004782510368508585
4.0,2.4787523296992305e-05,0.005155963982165193,0.004819248494537088
4.015505,2.421768876204123e-05,0.005140568944635082,0.004835213366602154
4.064495,2.2501852830328147e-05,0.005092155161304137,0.004885342985864802
4.1,2.133481905047239e-05,0.005057286606935539,0.00492137857401324
4.115505,2.084435792024053e-05,0.005042117846275018,0.004937037795803996
4.164495,1.936752424529894e-05,0.004994426151127802,0.004986206324626145
4.2,1.8363048960669242e-05,0.00496008713692086,0.005021549814117703
4.215505,1.794090515310068e-05,0.004945151116066949,0.005036907978779186
4.264495,1.6669782627263417e-05,0.004898200162967778,0.0050851300544041845
4.3,1.5805222736326408e-05,0.004864402615895135,0.005119792161367752
4.315505,1.5441880193392896e-05,0.004849704145465197,0.005134853974340624
4.364495,1.4347814894702559e-05,0.004803507628932965,0.005182144556171538
4.4,1.3603681299327362e-05,0.004770260117905127,0.005216136200794737
4.415505,1.329094947396724e-05,0.004755802601244088,0.005230906449281139
4.464495,1.2349278743201193e-05,0.00471036999400066,0.0052772807272553224
4.5,1.1708797021147364e-05,0.0046776782312147715,0.005310612971763252
4.515505,1.143962624416249e-05,0.004663463875014311,0.005325096498740699
4.564495,1.0629122733775169e-05,0.004618801061872587,0.0053705698153928
4.6,1.0077855005998127e-05,0.004586668333662041,0.005403253811331109
4.615505,9.846177570869132e-06,0.004572698328953173,0.005417455493475109
4.664495,9.148570733481532e-06,0.004528808151502197,0.005462043277763465
4.7,8.674090202305776e-06,0.00449723568852023,0.0054940902212765935
4.715505,8.474683585624779e-06,0.004483510366171738,0.005508014950241769
4.764495,7.874247815349878e-06,0.004440393090702067,0.005551732661481706
4.8,7.465858636878182e-06,0.0044093803859025435,0.005583153755459689
4.815505,7.294227771084011e-06,0.004395899350182006,0.005596806422046022
4.864495,6.777427913479822e-06,0.004353553069561002,0.005639669502524621
4.9,6.425924089541026e-06,0.004323098151260479,0.0056704759246490695
